DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,1.4098739495797998,144.1019,
1961-12-31,1.4443277310924,144.103,
1962-12-31,1.4341563786008,139.6851,3.818
1963-12-31,1.2406722689076,117.9623,2.5167
1964-12-31,1.3097478991597,121.5646,3.9064
1965-12-31,1.6983193277311002,153.8999,2.537
1966-12-31,1.7514705882353,155.0012,5.0238
1967-12-31,1.8594650205761,160.7003,6.439
1968-12-31,1.8013445378150998,152.0531,5.8011
1969-12-31,1.9655462184874,162.1844,7.7168
1970-12-31,2.2964705882353003,185.3671,3.8466
1971-12-31,2.3693086003372996,187.2283,1.3069
1972-12-31,2.5539363484087,197.7579,-0.4105
1973-12-31,2.875625,218.351,7.0574
1974-12-31,3.5745864661654,266.3969,3.8458
1975-12-31,3.7912981455064,277.4891,6.1262
1976-12-31,3.5913198573127,258.1794,3.3351
1977-12-31,4.104509582863599,289.8859,5.1006
1978-12-31,2.7331838565022,189.6093,5.6538
1979-12-31,3.3646114322415,229.1909,6.4036
1980-12-31,4.0246218995765,269.32,5.846
1981-12-31,4.4158441558442005,290.5367,5.6995
1982-12-31,4.7687650168188,308.8828,4.1415
1983-12-31,5.1679133021674994,330.0401,4.814
1984-12-31,6.043474842767299,380.7494,5.0991
1985-12-31,5.9784609720177,371.5098,4.9994
1986-12-31,6.405210563882901,392.5244,4.3555
1987-12-31,6.6821671195652,403.8261,1.7256
1988-12-31,6.9783715812638,416.0297,2.4727
1989-12-31,6.9872676837725,411.2437,2.2993
1990-12-31,8.0325511732401,466.8977,6.4
1991-12-31,9.0003625815809,516.7693,4.6
1992-12-31,9.7030116358659,550.5424,4.4
1993-12-31,10.3386796357616,579.9902,6.9001
1994-12-31,11.7176042088223,650.5536,5.5999
1995-12-31,13.029697560975599,716.8008,5.5001
1996-12-31,13.8977383752488,758.5064,3.8
1997-12-31,15.0919138837091,818.0288,6.4054
1998-12-31,15.794972847168301,850.9857,4.6984
1999-12-31,15.656327859569599,838.5636,4.3005
2000-12-31,16.3308141799766,869.7535,6
2001-12-31,15.7497538048344,832.4273,-1.5454
2002-12-31,16.5365356470834,865.3021,3.9647
2003-12-31,18.881765437215098,978.1686,5.9403
2004-12-31,20.6625259412985,1060.1369,5.4451
2005-12-31,24.4057910447761,1240.5183,6.2417
2006-12-31,28.2798024059138,1423.1906,7.6683
2007-12-31,32.3502387604239,1611.1756,6.7968
2008-12-31,40.7138262150093,2007.0267,5.9501
2009-12-31,42.0662240930065,2053.7665,3.5389
2010-12-31,58.636161081712,2836.9741,8.016
2011-12-31,67.7532840439282,3248.0402,8.6695
2012-12-31,70.4472168913366,3351.8925,8.6322
2013-12-31,77.000578167353,3643.8324,4.0517
2014-12-31,82.52853571392599,3885.6236,6.378
2015-12-31,85.14095538885091,3990.3531,4.206
2016-12-31,88.01228220583569,4107.8298,5.0536
2017-12-31,94.3762377972367,4388.2019,6.4607
2018-12-31,94.4938712007869,4360.5847,2.3101
2019-12-31,89.0149783441404,4082.694,-0.2205
2020-12-31,84.3042987705329,3846.1745,-4.6245
2021-12-31,88.6093327624729,3999.338,4.2075
2022-12-31,74.1448750980587,3342.7201,-7.3468
2023-12-31,84.35686042113001,3827.9648,-2.298
