DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1962-12-31,3.818,,
1963-12-31,2.5167,-1.3,
1964-12-31,3.9064,1.39,
1965-12-31,2.537,-1.37,
1966-12-31,5.0238,2.49,
1967-12-31,6.439,1.42,
1968-12-31,5.8011,-0.64,
1969-12-31,7.7168,1.92,
1970-12-31,3.8466,-3.87,
1971-12-31,1.3069,-2.54,
1972-12-31,-0.4105,-1.72,
1973-12-31,7.0574,7.47,
1974-12-31,3.8458,-3.21,
1975-12-31,6.1262,2.28,
1976-12-31,3.3351,-2.79,
1977-12-31,5.1006,1.77,
1978-12-31,5.6538,0.55,
1979-12-31,6.4036,0.75,
1980-12-31,5.846,-0.56,
1981-12-31,5.6995,-0.15,
1982-12-31,4.1415,-1.56,
1983-12-31,4.814,0.67,
1984-12-31,5.0991,0.29,
1985-12-31,4.9994,-0.1,
1986-12-31,4.3555,-0.64,
1987-12-31,1.7256,-2.63,
1988-12-31,2.4727,0.75,
1989-12-31,2.2993,-0.17,
1990-12-31,6.4,4.1,
1991-12-31,4.6,-1.8,
1992-12-31,4.4,-0.2,
1993-12-31,6.9001,2.5,
1994-12-31,5.5999,-1.3,
1995-12-31,5.5001,-0.1,
1996-12-31,3.8,-1.7,
1997-12-31,6.4054,2.61,
1998-12-31,4.6984,-1.71,
1999-12-31,4.3005,-0.4,
2000-12-31,6,1.7,
2001-12-31,-1.5454,-7.55,
2002-12-31,3.9647,5.51,
2003-12-31,5.9403,1.98,
2004-12-31,5.4451,-0.5,
2005-12-31,6.2417,0.8,
2006-12-31,7.6683,1.43,
2007-12-31,6.7968,-0.87,
2008-12-31,5.9501,-0.85,
2009-12-31,3.5389,-2.41,
2010-12-31,8.016,4.48,
2011-12-31,8.6695,0.65,
2012-12-31,8.6322,-0.04,
2013-12-31,4.0517,-4.58,
2014-12-31,6.378,2.33,
2015-12-31,4.206,-2.17,
2016-12-31,5.0536,0.85,
2017-12-31,6.4607,1.41,
2018-12-31,2.3101,-4.15,
2019-12-31,-0.2205,-2.53,
2020-12-31,-4.6245,-4.4,
2021-12-31,4.2075,8.83,
2022-12-31,-7.3468,-11.55,
2023-12-31,-2.298,5.05,
