DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.

Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,144.1019,,
1961-12-31,144.103,0,
1962-12-31,139.6851,-3.07,
1963-12-31,117.9623,-15.55,
1964-12-31,121.5646,3.05,
1965-12-31,153.8999,26.6,
1966-12-31,155.0012,0.72,
1967-12-31,160.7003,3.68,
1968-12-31,152.0531,-5.38,
1969-12-31,162.1844,6.66,
1970-12-31,185.3671,14.29,
1971-12-31,187.2283,1,
1972-12-31,197.7579,5.62,
1973-12-31,218.351,10.41,
1974-12-31,266.3969,22,
1975-12-31,277.4891,4.16,
1976-12-31,258.1794,-6.96,
1977-12-31,289.8859,12.28,
1978-12-31,189.6093,-34.59,
1979-12-31,229.1909,20.88,
1980-12-31,269.32,17.51,
1981-12-31,290.5367,7.88,
1982-12-31,308.8828,6.31,
1983-12-31,330.0401,6.85,
1984-12-31,380.7494,15.36,
1985-12-31,371.5098,-2.43,
1986-12-31,392.5244,5.66,
1987-12-31,403.8261,2.88,
1988-12-31,416.0297,3.02,
1989-12-31,411.2437,-1.15,
1990-12-31,466.8977,13.53,
1991-12-31,516.7693,10.68,
1992-12-31,550.5424,6.54,
1993-12-31,579.9902,5.35,
1994-12-31,650.5536,12.17,
1995-12-31,716.8008,10.18,
1996-12-31,758.5064,5.82,
1997-12-31,818.0288,7.85,
1998-12-31,850.9857,4.03,
1999-12-31,838.5636,-1.46,
2000-12-31,869.7535,3.72,
2001-12-31,832.4273,-4.29,
2002-12-31,865.3021,3.95,
2003-12-31,978.1686,13.04,
2004-12-31,1060.1369,8.38,
2005-12-31,1240.5183,17.01,
2006-12-31,1423.1906,14.73,
2007-12-31,1611.1756,13.21,
2008-12-31,2007.0267,24.57,
2009-12-31,2053.7665,2.33,
2010-12-31,2836.9741,38.14,
2011-12-31,3248.0402,14.49,
2012-12-31,3351.8925,3.2,
2013-12-31,3643.8324,8.71,
2014-12-31,3885.6236,6.64,
2015-12-31,3990.3531,2.7,
2016-12-31,4107.8298,2.94,
2017-12-31,4388.2019,6.83,
2018-12-31,4360.5847,-0.63,
2019-12-31,4082.694,-6.37,
2020-12-31,3846.1745,-5.79,
2021-12-31,3999.338,3.98,
2022-12-31,3342.7201,-16.42,
2023-12-31,3827.9648,14.52,
