trade_date,isHoliday,close_daily,share_volume_daily,close_weekly,share_volume_weekly,gdp_billions_of_usd,gdp_per_capita_usd,usd_lkr_exchange_rate,bank_interest_rates,tresury_bill_3_months,tresury_bill_6_months,tresury_bill_12_months
2015-01-01,working_day,,,,,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-02,working_day,174.9,49049.0,174.9,49049.0,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-03,holiday,174.9,49049.0,174.9,49049.0,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-04,holiday,174.9,49049.0,174.9,49049.0,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-05,holiday,174.9,49049.0,174.9,49049.0,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-06,working_day,180.0,255134.0,174.9,49049.0,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-07,working_day,180.0,370302.0,174.9,49049.0,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-08,working_day,181.6,27002.0,174.9,49049.0,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-09,working_day,187.9,958161.0,187.9,1610599.0,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-10,holiday,187.9,958161.0,187.9,1610599.0,3.179,-3.73,131.5,6.0,9.55,9.95,10.99
2015-01-11,holiday,187.9,958161.0,187.9,1610599.0,3.179,-3.73,131.375,6.0,9.55,9.95,10.99
2015-01-12,working_day,190.1,3078643.0,187.9,1610599.0,3.179,-3.73,131.375,6.0,9.55,9.95,10.99
2015-01-13,working_day,189.5,168594.0,187.9,1610599.0,3.179,-3.73,131.375,6.0,9.55,9.95,10.99
2015-01-14,holiday,189.5,168594.0,187.9,1610599.0,3.179,-3.73,131.375,6.0,9.55,9.95,10.99
2015-01-15,holiday,189.5,168594.0,187.9,1610599.0,3.179,-3.73,131.375,6.0,9.55,9.95,10.99
2015-01-16,working_day,188.3,24690.0,188.3,3271927.0,3.179,-3.73,131.375,6.0,9.55,9.95,10.99
2015-01-17,holiday,188.3,24690.0,188.3,3271927.0,3.179,-3.73,131.375,6.0,9.55,9.95,10.99
2015-01-18,holiday,188.3,24690.0,188.3,3271927.0,3.179,-3.73,131.875,6.0,9.55,9.95,10.99
2015-01-19,working_day,179.8,451999.0,188.3,3271927.0,3.179,-3.73,131.875,6.0,9.55,9.95,10.99
2015-01-20,working_day,180.2,546885.0,188.3,3271927.0,3.179,-3.73,131.875,6.0,9.55,9.95,10.99
2015-01-21,working_day,180.0,105928.0,188.3,3271927.0,3.179,-3.73,131.875,6.0,9.55,9.95,10.99
2015-01-22,working_day,178.0,742522.0,188.3,3271927.0,3.179,-3.73,131.875,6.0,9.55,9.95,10.99
2015-01-23,working_day,180.0,57584.0,180.0,1904918.0,3.179,-3.73,131.875,6.0,9.55,9.95,10.99
2015-01-24,holiday,180.0,57584.0,180.0,1904918.0,3.179,-3.73,131.875,6.0,9.55,9.95,10.99
2015-01-25,holiday,180.0,57584.0,180.0,1904918.0,3.179,-3.73,132.225,6.0,9.55,9.95,10.99
2015-01-26,working_day,180.0,53002.0,180.0,1904918.0,3.179,-3.73,132.225,6.0,9.55,9.95,10.99
2015-01-27,working_day,181.0,664413.0,180.0,1904918.0,3.179,-3.73,132.225,6.0,9.55,9.95,10.99
2015-01-28,working_day,180.1,238538.0,180.0,1904918.0,3.179,-3.73,132.225,6.0,9.55,9.95,10.99
2015-01-29,working_day,179.9,2489287.0,180.0,1904918.0,3.179,-3.73,132.225,6.0,9.55,9.95,10.99
2015-01-30,working_day,168.1,1066970.0,168.1,4512210.0,3.179,-3.73,132.225,6.0,9.55,9.95,10.99
2015-01-31,holiday,168.1,1066970.0,168.1,4512210.0,3.179,-3.73,132.225,6.0,9.55,9.95,10.99
2015-02-01,holiday,168.1,1066970.0,168.1,4512210.0,3.179,-3.73,133.0,6.0,9.55,9.95,10.99
2015-02-02,working_day,160.8,228428.0,168.1,4512210.0,3.179,-3.73,133.0,6.0,9.55,9.95,10.99
2015-02-03,holiday,160.8,228428.0,168.1,4512210.0,3.179,-3.73,133.0,6.0,9.55,9.95,10.99
