direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Mar 08, 2019",1552003200,2019-03-08T00:00:00Z,178.550,178.450,178.750,178.150,0.04K,37,-0.06,178.55000305175781,178.44999694824219,178.75000000000000,178.14999389648438,-0.05597024805077824
greenFont,"Mar 07, 2019",1551916800,2019-03-07T00:00:00Z,178.650,178.400,178.700,178.150,0.05K,46,0.08,178.64999389648438,178.39999389648438,178.69999694824219,178.14999389648438,0.08403019410889356
redFont,"Mar 06, 2019",1551830400,2019-03-06T00:00:00Z,178.500,179.050,179.150,178.000,0.05K,48,-0.31,178.50000000000000,179.05000305175781,179.14999389648438,178.00000000000000,-0.3071784654473441
redFont,"Mar 05, 2019",1551744000,2019-03-05T00:00:00Z,179.050,179.700,179.900,179.000,0.06K,55,-0.39,179.05000305175781,179.69999694824219,179.89999389648438,179.00000000000000,-0.3894280657814673
redFont,"Mar 04, 2019",1551657600,2019-03-04T00:00:00Z,179.750,179.750,179.750,179.750,,0,0.00,179.75000000000000,179.75000000000000,179.75000000000000,179.75000000000000,0
redFont,"Mar 01, 2019",1551398400,2019-03-01T00:00:00Z,179.750,180.150,180.150,179.400,0.05K,48,-0.15,179.75000000000000,180.14999389648438,180.14999389648438,179.39999389648438,-0.15275317639643882
greenFont,"Feb 28, 2019",1551312000,2019-02-28T00:00:00Z,180.025,180.025,180.175,179.875,0.05K,50,0.10,180.02499389648438,180.02499389648438,180.17500305175781,179.87500000000000,0.09729651767041526
redFont,"Feb 27, 2019",1551225600,2019-02-27T00:00:00Z,179.850,179.950,180.000,179.650,0.05K,53,0.00,179.85000610351562,179.94999694824219,180.00000000000000,179.64999389648438,0
greenFont,"Feb 26, 2019",1551139200,2019-02-26T00:00:00Z,179.850,179.750,179.950,179.700,0.04K,43,0.06,179.85000610351562,179.75000000000000,179.94999694824219,179.69999694824219,0.05563621892385257
greenFont,"Feb 25, 2019",1551052800,2019-02-25T00:00:00Z,179.750,179.550,179.900,179.550,0.04K,44,0.15,179.75000000000000,179.55000305175781,179.89999389648438,179.55000305175781,0.15322127713190717
redFont,"Feb 22, 2019",1550793600,2019-02-22T00:00:00Z,179.475,179.575,179.675,179.375,0.05K,49,-0.01,179.47500610351562,179.57499694824219,179.67500305175781,179.37500000000000,-0.013924176314415043
redFont,"Feb 21, 2019",1550707200,2019-02-21T00:00:00Z,179.500,179.750,179.750,179.450,0.05K,49,-0.11,179.50000000000000,179.75000000000000,179.75000000000000,179.44999694824219,-0.11129490909217506
greenFont,"Feb 20, 2019",1550620800,2019-02-20T00:00:00Z,179.700,180.000,180.000,179.400,0.05K,49,0.06,179.69999694824219,180.00000000000000,180.00000000000000,179.39999389648438,0.0556741878220934
redFont,"Feb 19, 2019",1550534400,2019-02-19T00:00:00Z,179.600,179.600,179.600,179.600,,0,0.00,179.60000610351562,179.60000610351562,179.60000610351562,179.60000610351562,0
greenFont,"Feb 18, 2019",1550448000,2019-02-18T00:00:00Z,179.600,178.700,180.140,178.600,0.05K,53,0.53,179.60000610351562,178.69999694824219,180.13999938964844,178.60000610351562,0.5317728740487492
greenFont,"Feb 15, 2019",1550188800,2019-02-15T00:00:00Z,178.650,178.550,178.800,178.450,0.04K,35,0.06,178.64999389648438,178.55000305175781,178.80000305175781,178.44999694824219,0.056001592280890244
greenFont,"Feb 14, 2019",1550102400,2019-02-14T00:00:00Z,178.550,178.650,178.850,178.450,0.03K,34,0.03,178.55000305175781,178.64999389648438,178.85000610351562,178.44999694824219,0.028012914150035016
greenFont,"Feb 13, 2019",1550016000,2019-02-13T00:00:00Z,178.500,178.400,178.950,178.200,0.04K,41,0.11,178.50000000000000,178.39999389648438,178.94999694824219,178.19999694824219,0.11216878565287035
greenFont,"Feb 12, 2019",1549929600,2019-02-12T00:00:00Z,178.300,177.800,178.350,177.700,0.03K,34,0.31,178.30000305175781,177.80000305175781,178.35000610351562,177.69999694824219,0.3094250642800633
redFont,"Feb 11, 2019",1549843200,2019-02-11T00:00:00Z,177.750,177.800,177.950,177.600,0.03K,33,0.00,177.75000000000000,177.80000305175781,177.94999694824219,177.60000610351562,0
redFont,"Feb 08, 2019",1549584000,2019-02-08T00:00:00Z,177.750,177.750,178.350,177.550,0.04K,44,0.00,177.75000000000000,177.75000000000000,178.35000610351562,177.55000305175781,0
greenFont,"Feb 07, 2019",1549497600,2019-02-07T00:00:00Z,177.750,177.850,177.850,177.450,0.04K,39,0.08,177.75000000000000,177.85000610351562,177.85000610351562,177.44999694824219,0.0844560198927864
redFont,"Feb 06, 2019",1549411200,2019-02-06T00:00:00Z,177.600,178.200,178.650,177.400,0.05K,48,-0.36,177.60000610351562,178.19999694824219,178.64999389648438,177.39999389648438,-0.3646529573544881
greenFont,"Feb 05, 2019",1549324800,2019-02-05T00:00:00Z,178.250,177.250,178.450,177.250,0.04K,44,0.91,178.25000000000000,177.25000000000000,178.44999694824219,177.25000000000000,0.905749311518922
redFont,"Feb 04, 2019",1549238400,2019-02-04T00:00:00Z,176.650,176.650,176.650,176.650,,0,0.00,176.64999389648438,176.64999389648438,176.64999389648438,176.64999389648438,0
redFont,"Feb 01, 2019",1548979200,2019-02-01T00:00:00Z,176.650,178.350,178.400,176.250,0.05K,50,-0.98,176.64999389648438,178.35000610351562,178.39999389648438,176.25000000000000,-0.9809417375963746
redFont,"Jan 31, 2019",1548892800,2019-01-31T00:00:00Z,178.400,179.450,179.450,178.350,0.04K,41,-0.56,178.39999389648438,179.44999694824219,179.44999694824219,178.35000610351562,-0.5574136198560911
redFont,"Jan 30, 2019",1548806400,2019-01-30T00:00:00Z,179.400,181.050,181.050,178.650,0.07K,66,-0.80,179.39999389648438,181.05000305175781,181.05000305175781,178.64999389648438,-0.8017761449238141
redFont,"Jan 29, 2019",1548720000,2019-01-29T00:00:00Z,180.850,181.750,181.850,180.850,0.04K,35,-0.40,180.85000610351562,181.75000000000000,181.85000610351562,180.85000610351562,-0.39927900697320157
redFont,"Jan 28, 2019",1548633600,2019-01-28T00:00:00Z,181.575,181.525,181.725,181.425,0.03K,30,-0.04,181.57499694824219,181.52499389648438,181.72500610351562,181.42500305175781,-0.04128651294363681
redFont,"Jan 25, 2019",1548374400,2019-01-25T00:00:00Z,181.650,181.750,181.900,181.350,0.04K,36,-0.06,181.64999389648438,181.75000000000000,181.89999389648438,181.35000610351562,-0.05502399093019257
redFont,"Jan 24, 2019",1548288000,2019-01-24T00:00:00Z,181.750,182.450,182.450,181.650,0.04K,43,-0.25,181.75000000000000,182.44999694824219,182.44999694824219,181.64999389648438,-0.24697966837508717
greenFont,"Jan 23, 2019",1548201600,2019-01-23T00:00:00Z,182.200,182.150,182.450,182.000,0.03K,34,0.03,182.19999694824219,182.14999389648438,182.44999694824219,182.00000000000000,0.02745158025436398
greenFont,"Jan 22, 2019",1548115200,2019-01-22T00:00:00Z,182.150,181.800,182.200,181.700,0.04K,38,0.19,182.14999389648438,181.80000305175781,182.19999694824219,181.69999694824219,0.1925142127896012
greenFont,"Jan 21, 2019",1548028800,2019-01-21T00:00:00Z,181.800,181.650,181.950,181.650,0.04K,37,0.08,181.80000305175781,181.64999389648438,181.94999694824219,181.64999389648438,0.08258142599163652
