Currency,Date,"Exchange Rate"

XAU,2025-04-08,892646.9685
XAU,2025-04-07,900138.6455
XAU,2025-04-04,922069.1950
XAU,2025-04-03,932614.2929
XAU,2025-04-02,927882.6434
XAU,2025-04-01,931034.3818
XAU,2025-03-28,911472.1196
XAU,2025-03-27,897509.0040
XAU,2025-03-26,897426.6979
XAU,2025-03-25,893175.4275
XAU,2025-03-24,896184.0609
XAU,2025-03-21,900265.4699
XAU,2025-03-20,903760.1079
XAU,2025-03-19,896934.5910
XAU,2025-03-18,890893.7266
XAU,2025-03-17,883984.7554
XAU,2025-03-14,882077.1356
XAU,2025-03-12,862085.4418
XAU,2025-03-11,856254.6500
XAU,2025-03-10,860529.8672
XAU,2025-03-07,859015.7337
XAU,2025-03-06,863128.8301
XAU,2025-03-05,858515.4280
XAU,2025-03-04,852179.4665
XAU,2025-03-03,847586.5360
XAU,2025-02-28,849806.7334
XAU,2025-02-27,861531.2883
XAU,2025-02-25,872496.5186
XAU,2025-02-24,868129.3051
XAU,2025-02-21,871155.9035
XAU,2025-02-20,871637.2502
XAU,2025-02-19,868693.3423
XAU,2025-02-18,855599.0053
XAU,2025-02-17,856043.5311
XAU,2025-02-14,868271.4846
XAU,2025-02-13,863775.3163
XAU,2025-02-11,874660.0915
XAU,2025-02-10,855438.9361
XAU,2025-02-07,855983.5596
XAU,2025-02-06,858251.4884
XAU,2025-02-05,852685.8229
XAU,2025-02-03,826538.6041
XAU,2025-01-31,832105.7482
XAU,2025-01-30,818623.7509
XAU,2025-01-29,823644.5607
XAU,2025-01-28,817623.9991
XAU,2025-01-27,823016.0459
XAU,2025-01-24,827413.2259
XAU,2025-01-23,822605.3439
XAU,2025-01-22,817574.8212
XAU,2025-01-21,807898.4274
XAU,2025-01-20,799984.9527
XAU,2025-01-17,805077.1470
XAU,2025-01-16,796054.5699
XAU,2025-01-15,786893.2310
XAU,2025-01-10,790525.3188
XAU,2025-01-09,786922.3796
XAU,2025-01-08,783900.5376
XAU,2025-01-07,778116.0380
XAU,2025-01-06,775988.9564
XAU,2025-01-03,779943.7303
XAU,2025-01-02,773285.6394
XAU,2025-01-01,769023.6765
XAU,2024-12-31,763459.5484
XAU,2024-12-30,768331.1874
XAU,2024-12-27,774237.5461
XAU,2024-12-26,778557.7168
XAU,2024-12-24,773996.5414
XAU,2024-12-23,769713.5684
XAU,2024-12-20,760126.4750
XAU,2024-12-19,760289.8220
XAU,2024-12-18,770447.0764
XAU,2024-12-17,772684.3983
XAU,2024-12-16,769980.1445
XAU,2024-12-13,780230.8665
XAU,2024-12-12,786061.4182
XAU,2024-12-11,784952.1604
XAU,2024-12-10,774768.0040
XAU,2024-12-09,768621.0530
XAU,2024-12-06,761764.0716
XAU,2024-12-05,769117.1023
XAU,2024-12-04,768195.2756
XAU,2024-12-03,765902.9140
XAU,2024-12-02,764582.0994
XAU,2024-11-29,773613.5925
XAU,2024-11-28,764656.9796
XAU,2024-11-27,767944.1483
XAU,2024-11-26,765114.5384
XAU,2024-11-25,786059.9671
XAU,2024-11-22,780415.8900
XAU,2024-11-21,772989.5096
XAU,2024-11-20,768426.7092
XAU,2024-11-19,763814.8798
XAU,2024-11-18,757834.7129
XAU,2024-11-14,748882.1666
XAU,2024-11-13,762774.4071
XAU,2024-11-12,768149.9541
XAU,2024-11-11,782030.2343
XAU,2024-11-08,790216.7096
XAU,2024-11-07,777405.8919
XAU,2024-11-06,804988.4232
XAU,2024-11-05,800561.0056
XAU,2024-11-04,802401.1913
XAU,2024-11-01,806276.5591
XAU,2024-10-30,815923.5583
XAU,2024-10-29,809246.2766
XAU,2024-10-28,803052.5072
XAU,2024-10-25,801407.8623
XAU,2024-10-24,798412.0271
XAU,2024-10-23,803285.9323
XAU,2024-10-22,799842.8034
XAU,2024-10-21,798902.0557
XAU,2024-10-18,793688.7656
XAU,2024-10-16,783066.3312
XAU,2024-10-15,776809.8110
XAU,2024-10-14,776360.7258
XAU,2024-10-11,773885.2727
XAU,2024-10-10,764952.5867
XAU,2024-10-09,768026.4320
XAU,2024-10-08,774121.7147
XAU,2024-10-07,777824.3030
XAU,2024-10-04,786334.4849
XAU,2024-10-03,783993.1787
XAU,2024-10-02,786467.5364
XAU,2024-10-01,783221.5908
XAU,2024-09-30,794276.6143
XAU,2024-09-27,801437.9861
XAU,2024-09-26,802975.1960
XAU,2024-09-25,809431.7941
XAU,2024-09-24,799864.1843
XAU,2024-09-23,799064.6881
XAU,2024-09-20,788517.5316
XAU,2024-09-19,778453.2772
XAU,2024-09-18,774896.7946
XAU,2024-09-13,773840.9916
XAU,2024-09-12,755912.1760
XAU,2024-09-11,757666.9242
XAU,2024-09-10,751070.2197
XAU,2024-09-09,745997.9801
XAU,2024-09-06,751955.9136
XAU,2024-09-05,746748.3730
XAU,2024-09-04,746036.4903
XAU,2024-09-03,745580.4333
XAU,2024-09-02,746559.5030
XAU,2024-08-30,755727.8546
XAU,2024-08-29,755631.6689
XAU,2024-08-28,756634.5530
XAU,2024-08-27,753648.0453
XAU,2024-08-26,755758.0030
XAU,2024-08-23,749484.1252
XAU,2024-08-22,751339.6873
XAU,2024-08-21,753525.2763
XAU,2024-08-20,746926.2607
XAU,2024-08-16,733735.0850
XAU,2024-08-15,733797.4710
XAU,2024-08-14,735052.0859
XAU,2024-08-13,739166.4339
XAU,2024-08-12,729046.9648
XAU,2024-08-09,730311.8852
XAU,2024-08-08,721246.9926
XAU,2024-08-07,723351.5496
XAU,2024-08-06,728861.1249
XAU,2024-08-05,736524.4575
XAU,2024-08-02,741707.2326
XAU,2024-08-01,740958.4933
XAU,2024-07-31,727903.5487
XAU,2024-07-30,720465.7305
XAU,2024-07-29,725661.0085
XAU,2024-07-26,720640.5519
XAU,2024-07-25,721798.7343
XAU,2024-07-24,732915.8944
XAU,2024-07-23,729480.4052
XAU,2024-07-22,730715.9092
XAU,2024-07-19,736772.8975
XAU,2024-07-18,747678.2172
XAU,2024-07-17,752089.3496
XAU,2024-07-16,732184.5939
XAU,2024-07-15,727982.6961
XAU,2024-07-12,730243.5030
XAU,2024-07-11,721597.0602
XAU,2024-07-10,720421.2229
XAU,2024-07-09,719637.2913
XAU,2024-07-08,727007.9486
XAU,2024-07-05,719240.6513
XAU,2024-07-04,717282.9398
XAU,2024-07-03,706675.7865
XAU,2024-07-02,713330.0223
XAU,2024-07-01,711879.0149
XAU,2024-06-28,709957.4903
XAU,2024-06-27,701893.3811
XAU,2024-06-26,708978.7229
XAU,2024-06-25,710273.8835
XAU,2024-06-24,709119.0547
XAU,2024-06-20,712480.7996
XAU,2024-06-19,709619.4065
XAU,2024-06-18,706492.2615
XAU,2024-06-14,700477.5825
XAU,2024-06-13,703449.6146
XAU,2024-06-12,702505.2169
XAU,2024-06-11,697962.2114
XAU,2024-06-10,695902.1464
XAU,2024-06-07,717719.3916
XAU,2024-06-06,715608.4219
XAU,2024-06-05,705045.5959
XAU,2024-06-04,708650.5778
XAU,2024-06-03,703082.3339
XAU,2024-05-31,708485.0474
XAU,2024-05-30,703860.0195
XAU,2024-05-29,710894.2605
XAU,2024-05-28,707028.9520
XAU,2024-05-27,701861.4469
XAU,2024-05-22,726648.2645
XAU,2024-05-21,725328.2757
XAU,2024-05-20,729715.5423
XAU,2024-05-17,717411.5730
XAU,2024-05-16,722490.9128
XAU,2024-05-15,709219.1633
XAU,2024-05-14,702582.1507
XAU,2024-05-13,704714.3788
XAU,2024-05-10,701530.6581
XAU,2024-05-09,689893.2253
XAU,2024-05-08,691861.8966
XAU,2024-05-07,691983.2367
XAU,2024-05-06,687459.9509
XAU,2024-05-03,682783.5916
XAU,2024-05-02,691063.0922
XAU,2024-04-30,691794.9397
XAU,2024-04-29,689518.3329
XAU,2024-04-26,693731.7144
XAU,2024-04-25,692992.9740
XAU,2024-04-24,699153.5689
XAU,2024-04-22,717491.4339
XAU,2024-04-19,725226.2293
XAU,2024-04-18,713467.7409
XAU,2024-04-17,715156.7977
XAU,2024-04-16,711821.3506
