"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,1.4098739495798,144.1019,
1961-12-31,1.4443277310924,144.103,
1962-12-31,1.4341563786008,139.6851,3.818
1963-12-31,1.2406722689076,117.9623,2.5167
1964-12-31,1.3097478991597,121.5646,3.9064
1965-12-31,1.6983193277311,153.8999,2.537
1966-12-31,1.7514705882353,155.0012,5.0238
1967-12-31,1.8594650205761,160.7003,6.439
1968-12-31,1.8013445378151,152.0531,5.8011
1969-12-31,1.9655462184874,162.1844,7.7168
1970-12-31,2.2964705882353,185.3671,3.8466
1971-12-31,2.3693086003373,187.2283,1.3069
1972-12-31,2.5539363484087,197.7579,-0.4105
1973-12-31,2.875625,218.351,7.0574
1974-12-31,3.5745864661654,266.3969,3.8458
1975-12-31,3.7912981455064,277.4891,6.1262
1976-12-31,3.5913198573127,258.1794,3.3351
1977-12-31,4.1045095828636,289.8859,5.1006
1978-12-31,2.7331838565022,189.6093,5.6538
1979-12-31,3.3646114322415,229.1909,6.4036
1980-12-31,4.0246218995765,269.32,5.846
1981-12-31,4.4158441558442,290.5367,5.6995
1982-12-31,4.7687650168188,308.8828,4.1415
1983-12-31,5.1679133021675,330.0401,4.814
1984-12-31,6.0434748427673,380.7494,5.0991
1985-12-31,5.9784609720177,371.5098,4.9994
1986-12-31,6.4052105638829,392.5244,4.3555
1987-12-31,6.6821671195652,403.8261,1.7256
1988-12-31,6.9783715812638,416.0297,2.4727
1989-12-31,6.9872676837725,411.2437,2.2993
1990-12-31,8.0325511732401,466.8977,6.4
1991-12-31,9.0003625815809,516.7693,4.6
1992-12-31,9.7030116358659,550.5424,4.4
1993-12-31,10.338679635762,579.9902,6.9001
1994-12-31,11.717604208822,650.5536,5.5999
1995-12-31,13.029697560976,716.8008,5.5001
1996-12-31,13.897738375249,758.5064,3.8
1997-12-31,15.091913883709,818.0288,6.4054
1998-12-31,15.794972847168,850.9857,4.6984
1999-12-31,15.65632785957,838.5636,4.3005
2000-12-31,16.330814179977,869.7535,6
2001-12-31,15.749753804834,832.4273,-1.5454
2002-12-31,16.536535647083,865.3021,3.9647
2003-12-31,18.881765437215,978.1686,5.9403
2004-12-31,20.662525941299,1060.1369,5.4451
2005-12-31,24.405791044776,1240.5183,6.2417
2006-12-31,28.279802405914,1423.1906,7.6683
2007-12-31,32.350238760424,1611.1756,6.7968
2008-12-31,40.713826215009,2007.0267,5.9501
2009-12-31,42.066224093006,2053.7665,3.5389
2010-12-31,58.636161081712,2836.9741,8.016
2011-12-31,67.753284043928,3248.0402,8.6695
2012-12-31,70.447216891337,3351.8925,8.6322
2013-12-31,77.000578167353,3643.8324,4.0517
2014-12-31,82.528535713926,3885.6236,6.378
2015-12-31,85.140955388851,3990.3531,4.206
2016-12-31,88.012282205836,4107.8298,5.0536
2017-12-31,94.376237797237,4388.2019,6.4607
2018-12-31,94.493871200787,4360.5847,2.3101
2019-12-31,89.01497834414,4082.694,-0.2205
2020-12-31,84.304298770533,3846.1745,-4.6245
2021-12-31,88.609332762473,3999.338,4.2075
2022-12-31,74.144875098059,3342.7201,-7.3468
2023-12-31,84.35686042113,3827.9648,-2.298
