date,91 days,182 days,364 days,02 year,03 year,04 year,05 year,06 year,07 year,08 year,09 year,10 year,12 year,15 year,20 year,30 year
2025-05-29,7.55,7.77,7.98,,8.85,,9.47,,,,,10.46,,,,
2025-05-22,7.65,7.97,8.29,,,,,,,,,,,,,
2025-05-15,7.65,7.98,8.3,,,10.22,,,,10.97,,,,,,
2025-05-08,7.65,7.98,8.3,,,,,,,,,,,,,
2025-04-30,7.65,7.97,8.3,,,10.3,,10.96,,,,11.22,,,,
2025-04-24,7.62,7.98,8.29,,,,,,,,,,,,,
2025-04-16,7.59,7.96,8.31,,,,,,,,,,,,,
2025-04-03,7.59,7.91,8.31,,,,,,,,,,,,,
2025-03-27,7.5,7.84,8.25,,,,,,,,,,,,,
2025-03-20,7.5,7.84,8.25,,,,,,,,,,,,,
2025-03-12,7.52,7.86,8.34,,,,10.72,,,11.4,,11.5,,,,
2025-03-06,7.53,7.86,8.34,,,,,,,,,,,,,
2025-02-27,7.57,7.87,8.35,,,10.63,,,,11.41,,,,,,
2025-02-20,7.61,7.9,8.36,,,,,,,,,,,,,
2025-02-13,7.69,7.94,8.42,,,10.31,,11.23,,,,,,,,
2025-02-06,7.79,8,8.43,,,,,,,,,,,,,
2025-01-30,7.93,8.09,8.47,,,,10.73,,,11.47,,,,,,
2025-01-23,8.12,8.25,8.63,,,,,,,,,,,,,
2025-01-16,8.33,8.44,8.8,,,,,,,,,,,,,
2025-01-09,8.47,8.6,8.9,,,10.42,,11.23,,,,11.47,,,,
2025-01-02,8.55,8.72,8.94,,,10.42,,,,,,11.47,,,,
2024-12-26,8.62,8.77,8.96,,,,,,,,,,,,,
2024-12-12,8.69,8.88,9.07,,,,10.75,,,11.47,,,,,,
2024-12-05,8.73,8.94,9.08,,,,,,,,,,,,,
2024-11-28,8.73,8.97,9.08,,,10.62,,,,11.28,,11.4,,,,
2024-11-21,9.3,9.6,9.78,,,,,,,,,,,,,
2024-11-13,9.35,9.64,9.88,,,11.63,,,,12.32,,,,,,
2024-11-07,9.37,9.7,9.95,,,,,,,,,,,,,
2024-10-30,9.35,9.68,9.95,,,11.84,,,,12.36,,,,,,
2024-10-24,9.32,9.65,9.95,,,,,,,,,,,,,
2024-10-16,9.32,9.65,9.95,,11.79,,,,,12.36,,,,,,
2024-10-10,9.69,9.95,10,,,,,,,,,,,,,
2024-10-03,10.06,10.37,10.04,,,,,,,,,,,,,
2024-09-26,10.49,10.72,10.05,,,,,,,,,,,,,
2024-09-19,10.49,10.76,10.07,,,,,,,,,,,,,
2024-09-12,9.99,10.24,10.07,,13.79,,13.98,,,,,,,,,
2024-09-05,9.61,9.94,10.03,,,,,,,,,,,,,
2024-08-29,9.49,9.84,10.01,,,,,,,,,,,,,
2024-08-22,9.42,9.8,10.01,,,,,,,,,,,,,
2024-08-15,9.39,9.68,10.03,,,,12.98,,13.25,,,,,,,
2024-08-08,9.22,9.56,10.06,,,,,,,,,,,,,
2024-08-01,9.14,9.34,9.95,,,12.07,,12.55,,,,12.83,,,,
2024-07-25,9.14,9.34,9.95,,,,,,,,,,,,,
2024-07-18,9.55,9.78,10.07,,,,,,,,,,,,,
2024-07-11,9.91,10.1,10.21,,11.78,,,,12.31,,,,,,,
2024-07-04,10.07,10.19,10.31,,,,,,,,,,,,,
2024-06-27,10.07,10.19,10.31,,11.9,,,,,12.41,,,,,,
2024-06-19,9.39,9.81,9.9,,,,,,,,,,,,,
2024-06-13,8.89,9.3,9.54,,10.69,,11.78,,,12.03,,,,,,
2024-06-06,8.7,9.04,9.27,,,,,,,,,,,,,
2024-05-30,8.62,9.04,9.18,,,,,,,,,,,,,
2024-05-21,8.76,9.17,9.29,,,,,,,,,,,,,
2024-05-16,9.04,9.43,9.57,,,11.01,,11.85,,12.17,,,,,,
2024-05-09,9.43,9.76,9.9,,,,,,,,,,,,,
2024-05-02,9.61,9.89,9.99,,,11.72,,12.38,,12.47,,,,,,
2024-04-25,9.9,10.08,10.21,,,,,,,,,,,,,
2024-04-18,10.03,10.22,10.23,,,,,,,,,,,,,
2024-04-09,10.1,10.27,10.27,11.44,,,12.37,,12.51,,,,,,,
2024-04-04,10.11,10.3,10.28,,,,,,,,,,,,,
2024-03-27,10.07,10.23,10.28,,,,,,,,,,,,,
2024-03-21,10.23,10.35,10.38,,,,,,,,,,,,,
2024-03-14,10.1,10.21,10.24,,11.33,,12.25,,,12.42,,,,,,
2024-03-06,9.96,10.08,10.14,,,,,,,,,,,,,
2024-02-29,9.87,9.95,10.05,,,,,,,,,,,,,
2024-02-22,9.78,9.86,10.02,,,,,,,,,,,,,
2024-02-15,9.79,9.86,10.02,,10.81,,11.9,,,,,,,,,
2024-02-08,10.96,11.07,10.73,,,,,,,,,,,,,
2024-02-01,11.97,12.2,12,,13.08,,13.65,,,,,,,,,
2024-01-24,13.35,13.41,12.78,,,,,,,,,,,,,
2024-01-18,13.91,13.83,12.92,,,,,,,,,,,,,
2024-01-11,14.27,14.09,12.93,13.83,,14.21,,14.22,,,,,,,,
2024-01-04,14.45,14.16,12.93,,,,,,,,,,,,,
2023-12-28,14.51,14.16,12.93,13.87,,14.21,,14.22,,,,,,,,
2023-12-21,14.57,14.24,12.93,,,,,,,,,,,,,
2023-12-14,14.59,14.29,12.83,,14.07,,14.32,,,,,,,,,
2023-12-07,14.67,14.38,12.88,,,,,,,,,,,,,
2023-11-30,14.86,14.52,12.89,,14.48,,14.52,,,,,,,,,
2023-11-23,15.29,14.75,12.94,,-,-,,,,-,,,,,,
2023-11-16,15.39,14.75,12.96,,15.22,14.52,,,,13.56,,,,,,
2023-11-09,15.64,14.81,12.99,,,,,,,,,,,,,
2023-11-02,15.93,14.93,13.02,,,,,,,,,,,,,
2023-10-26,16.1,14.93,13.02,,,,,,,,,,,,,
2023-10-19,16.3,14.94,13.02,,,,,,,,,,,,,
2023-10-12,16.64,14.96,13.1,,15.24,,,,,13.56,,,,,,
2023-10-05,17.22,15.09,13.16,,,,,,,,,,,,,
2023-09-26,17.42,15.13,13.3,,15.64,,14.52,,,,,,,,,
2023-09-21,18.12,15.38,13.32,,,,,,,,,,,,,
2023-09-14,18.16,15.19,13.35,,15.58,,14.64,,,,,,,,,
2023-09-07,18.46,15.36,13.58,,,,,,,,,,,,,
2023-08-31,18.48,15.36,13.58,,15.8,,15.03,,,,,,,,,
2023-08-24,17.97,15.03,13.31,,,,,,,,,,,,,
2023-08-17,17.55,14.87,13.19,,,,,,,,,,,,,
2023-08-10,19.78,17.11,13.94,,,,,,,,,,,,,
2023-08-04,19.9,17.57,14.16,,,,,,,,,,,,,
2023-07-28,19.96,17.69,14.29,,,,,,,,,,,,,
2023-07-21,19.99,17.77,14.35,,,,,,,,,,,,,
2023-07-14,19.08,16.95,14.04,,,,,,,,,,,,,
2023-07-13,,,,,,,15.74,,,15.67,,,,,,
2023-07-07,17.79,15.93,13.86,,,,,,,,,,,,,
2023-06-27,23,19.49,16.99,,,,,,,,,,,,,
2023-06-23,23,19.49,16.99,,,,,,,,,,,,,
2023-06-16,23.16,20.61,18.08,,,,,,,,,,,,,
2023-06-09,23.21,21.9,19.1,,,,,,,,,,,,,
2023-06-02,25.65,25.29,22.91,,,,,,,,,,,,,
2023-05-26,25.66,25.3,22.97,,,,,,,,,,,,,
2023-05-19,25.47,25.22,22.79,,,,,,,,,,,,,
2023-05-12,25.8,25.42,23.14,,,,,,,,,,,,,
2023-05-08,25.82,25.42,23.14,,,,,,,,,,,,,
2023-04-28,25.74,25.27,23,,,,,,,,,,,,,
2023-04-21,25.65,24.97,22.96,,,,,,,,,,,,,
2023-04-17,24.8,24.1,22.64,,,,,,,,,,,,,
2023-04-10,24.12,24.1,22.37,,,,,,,,,,,,,
2023-03-31,25.99,25.79,24.31,,,,,,,,,,,,,
2023-03-24,26.23,26.12,24.32,,,,,,,,,,,,,
2023-03-17,27.94,27.34,25.92,,,,,,,,,,,,,
2023-03-15,,,,29.99,,,28.11,,,,,,,,,
2023-03-10,28.75,27.77,26.43,,,,,,,,,,,,,
2023-03-03,29.59,28.64,27.64,,,,,,,,,,,,,
2023-03-01,,,,,,,29.37,,,,,,,,,
2023-02-24,29.72,28.67,27.67,,,,,,,,,,,,,
2023-02-17,29.83,28.67,27.71,,,,,,,,,,,,,
2023-02-10,29.88,28.72,27.72,,,,,,,,,,,,,
2023-02-03,29.91,28.72,27.78,,,,,,,,,,,,,
2023-02-01,,,,,32.19,,29.21,,,,,,,,,
2023-01-27,29.91,28.72,27.78,,,,,,,,,,,,,
2023-01-20,30.08,29.07,28.25,,,,,,,,,,,,,
2023-01-17,,,,,30.85,,29.79,,,,,,,,,
2023-01-13,31.15,31.37,29.04,,,,,,,,,,,,,
2023-01-09,32.01,32.02,29.16,,,,,,,,,,,,,
2022-12-30,32.64,32.2,29.27,,,,,,,,,,,,,
2022-12-29,,,,,,,31.36,,,,,,,,,
2022-12-23,32.67,32.23,29.3,,,,,,,,,,,,,
2022-12-16,32.8,32.26,29.32,,,,,,,,,,,,,
2022-12-15,,,,32.71,33.01,31.45,,,,,,,,,,
2022-12-09,32.91,32.27,29.33,,,,,,,,,,,,,
2022-12-02,32.91,32.27,29.46,,,,,,,,,,,,,
2022-12-01,,,,32.71,,31.69,,,,,,,,,,
2022-11-25,32.92,32.45,29.52,,,,,,,,,,,,,
2022-11-18,33.06,32.51,29.53,,,,,,,,,,,,,
2022-11-15,,,,33.01,,,,,,,,30.86,,,,
2022-11-11,33.14,32.53,29.55,,,,,,,,,,,,,
2022-11-04,33.1,32.53,29.57,,,,,,,,,,,,,
2022-11-01,,,,,32.63,,31.78,,,,,,,,,
2022-10-28,33.05,32.53,29.6,,,,,,,,,,,,,
2022-10-21,33.05,32.53,29.6,,,,,,,,,,,,,
2022-10-17,,,,,31.93,,,,30.85,,,,,,,
2022-10-14,33.05,32.53,29.6,,,,,,,,,,,,,
2022-10-07,32.34,30.61,29.75,,,,,,,,,,,,,
2022-09-30,31.94,30.59,29.85,,,,,,,,,,,,,
2022-09-23,31.95,30.63,29.87,,,,,,,,,,,,,
2022-09-16,32.71,30.82,30.26,,,,,,,,,,,,,
2022-09-15,,,,,29.16,,,,,,,29.96,,,,
2022-09-09,32.89,31.28,30.5,,,,,,,,,,,,,
2022-09-02,32.89,31.28,30.5,,,,,,,,,,,,,
2022-08-26,30.51,29.51,29.83,,,,,,,,,,,,,
2022-08-19,29.44,28.96,29.14,,,,,,,,,,,,,
2022-08-15,,,,,,,,,26.91,,,,,,,
2022-08-12,28.43,28.97,29.15,,,,,,,,,,,,,
2022-08-05,27.72,28.97,29.19,,,,,,,,,,,,,
2022-08-01,,,,,28.45,,,,,,23.91,,,,,
2022-07-29,28.86,29.24,29.53,,,,,,,,,,,,,
2022-07-22,31.5,29.97,29.82,,,,,,,,,,,,,
2022-07-15,32.11,31.01,29.87,,28.18,,,,26.51,,,,,,,
2022-07-08,28.08,28.74,28.11,,,,,,,,,,,,,
2022-07-01,23.85,24.4,23.84,,23.77,,21.18,,,20.74,,,,,,
2022-06-24,20.73,21.9,22.04,,,,,,,,,,,,,
2022-06-17,20.73,21.9,22.04,,,,,,,,,,,,,
2022-06-15,,,,,20.3,,,20.19,,,,,,,,
2022-06-10,21.91,22.89,23.13,,,,,,,,,,,,,
2022-06-03,22.75,23.6,23.75,,,,,,,,,,,,,
2022-06-01,,,,,22.38,,,21.86,,,,,,,,
2022-05-27,23.65,24.22,24.3,,,,,,,,,,,,,
2022-05-20,24.07,24.69,24.5,,,,,,,,,,,,,
2022-05-17,,,,,23.53,,22.69,,,,,,,,,
2022-05-13,24.07,24.69,24.5,,,,,,,,,,,,,
2022-05-06,23.48,23.85,23.92,,,,,,,,,,,,,
2022-05-04,,,,,22.01,,22.16,,,,,,,,,
2022-04-22,23.21,24.77,24.36,,,,,,,,,,,,,
2022-04-18,19.71,22.73,23.36,,,,,20.21,,,,,,,,
2022-04-08,14.12,15.36,15.69,,,,,,,,,,,,,
2022-04-01,12.92,12.25,12.28,,,,,,,,,,,,,
2022-03-25,12.1,11.98,12,,,,,,,,,,,,,
2022-03-18,11.35,11.05,11.15,,,,,,,,,,,,,
2022-03-15,,,,14.41,,,14.7,,,,,15.42,,,,
2022-03-09,10.29,10.48,10.66,,,,,,,,,,,,,
2022-03-04,9.33,9.88,9.95,,,,,,,,,,,,,
2022-03-02,,,,,12.25,,,,,,,,13.14,,,
2022-02-25,8.61,8.53,8.53,,,,,,,,,,,,,
2022-02-18,8.5,8.54,8.57,,,,,,,,,,,,,
2022-02-15,,,,,,,11.92,,,,12.7,,,,,
2022-02-11,8.52,8.54,8.59,,,,,,,,,,,,,
2022-02-07,8.59,,,,,,,,,,,,,,,
2022-02-01,,,,,11.49,,,,,,,,12.45,,,
2022-01-28,8.63,8.55,8.55,,,,,,,,,,,,,
2022-01-18,,,,,11.05,,,11.7,,,,12.01,,,,
2022-01-07,8.26,8.3,8.39,,,,,,,,,,,,,
2022-01-03,,,,,,,,,,,,,12.06,,,
2021-12-31,8.16,8.33,8.24,,,,,,,,,,,,,
2021-12-24,7.71,8.1,8.02,,,,,,,,,,,,,
2021-12-17,7.24,8.03,8.06,,,,,,,,,,,,,
2021-12-15,,,,,9.7,,,10.9,11.27,,11.61,,,,,
2021-12-10,7.05,7.84,8.11,,,,,,,,,,,,,
2021-12-03,7.23,7.97,8.12,,,,,,,,,,,,,
2021-12-01,,,,,9.67,,,,,11.63,,,,,,
2021-11-26,7.53,8.02,8.16,,,,,,,,,,,,,
2021-11-19,7.77,8.03,8.17,,,,,,,,,,,,,
2021-11-12,7.98,8.12,8.19,,,,,,,,,,,,,
2021-11-05,8.18,8.21,8.26,,,,,,,,,,,,,
2021-11-01,,,,,9.94,,,,11.61,,,,,,,
2021-10-29,8.43,,8.18,,,,,,,,,,,,,
2021-10-22,8.39,8.16,8.17,,,,,,,,,,,,,
2021-10-15,8.04,,,9.36,,,11.14,,,,,,11.23,,,
2021-10-08,7.15,7.2,7.28,,,,,,,,,,,,,
2021-10-01,6.7,6.99,7.01,,,,,,,,,,,,,
2021-09-24,6.38,6.27,6.5,,,,,,,,,,,,,
2021-09-17,6.08,,6.12,,,,,,,,,,,,,
2021-09-15,,,,,8.1,,,,,,,10.05,,,,
2021-09-10,6.01,,6.05,,,,,,,,,,,,,
2021-09-03,5.92,5.95,5.96,,,,,,,,,,,,,
