id,agm,announcement_category,anu_category_id,approved_date,company,created_date,date_of_announcement,final_dividend,first_and_final,group_key,is_new,non_voting_div_per_share,payment,record_date,remarks,sec_id,symbol,type_first_int,type_fourth_int,type_other,type_second_int,type_third_int,voting_div_per_share,xc,xd
1117,,CASH DIVIDEND,5,1561374089867,VALLIBEL POWER ERATHNA PLC,24-06-2019 04:31:29 PM,24-06-2019,false,false,CASH DIVIDEND,true,,12-07-2019,,,454,VPEL,true,false,false,false,false,0.3,,03-07-2019
1127,25-07-2019,CASH DIVIDEND,5,1561458120671,CARGILLS (CEYLON) PLC,25-06-2019 03:52:00 PM,25-06-2019,true,false,CASH DIVIDEND,true,,05-08-2019,,,457,CARG,false,false,false,false,false,4.1,,26-07-2019
1135,26-08-2019,CASH DIVIDEND,5,1561462633502,BANSEI ROYAL RESORTS HIKKADUWA PLC,25-06-2019 05:07:13 PM,25-06-2019,false,true,CASH DIVIDEND,true,,04-09-2019,,,1322,BRR,false,false,false,false,false,0.3,,27-08-2019
1145,,CASH DIVIDEND,5,1561546563414,ACL PLASTICS PLC,26-06-2019 04:26:03 PM,26-06-2019,false,false,CASH DIVIDEND,true,,17-07-2019,,,643,APLA,true,false,false,false,false,6,,05-07-2019
1204,31-07-2019,CASH DIVIDEND,5,1561720598518,ALLIANCE FINANCE COMPANY PLC,28-06-2019 04:46:38 PM,28-06-2019,false,true,CASH DIVIDEND,true,,09-08-2019,,,341,ALLI,false,false,false,false,false,1,,01-08-2019
1295,,CASH DIVIDEND,5,1562139169964,DISTILLERIES COMPANY OF SRI LANKA PLC,03-07-2019 01:02:49 PM,02-07-2019,false,false,CASH DIVIDEND,true,,23-07-2019,,Interim Dividend for the year ended 31st March 2019,463,DIST,true,false,false,false,false,0.8,,12-07-2019
1323,29-07-2019,CASH DIVIDEND,5,1562153320779,C T HOLDINGS PLC,03-07-2019 04:58:40 PM,03-07-2019,true,false,CASH DIVIDEND,true,,07-08-2019,,,503,CTHR,false,false,false,false,false,3.7,,30-07-2019
1348,24-07-2019,CASH DIVIDEND,5,1562296757236,C T LAND DEVELOPMENT PLC,05-07-2019 08:49:17 AM,04-07-2019,true,false,CASH DIVIDEND,true,,02-08-2019,,Dividend Dates-Final Dividend for FY 2018/19,614,CTLD,false,false,false,false,false,1.25,,25-07-2019
1381,31-07-2019,CASH DIVIDEND,5,1562655920818,SENKADAGALA FINANCE PLC,09-07-2019 12:35:20 PM,09-07-2019,true,false,CASH DIVIDEND,true,,09-08-2019,,,441,SFCL,false,false,false,false,false,0.35,,01-08-2019
1392,31-07-2019,CASH DIVIDEND,5,1562671292101,CENTRAL INDUSTRIES PLC,09-07-2019 04:51:32 PM,09-07-2019,true,false,CASH DIVIDEND,true,,09-08-2019,,cash dividend - date,665,CIND,false,false,false,false,false,,,01-08-2019
