,symbol,year,voting_div_per_share,close,dividend_yield
838,AAF,2022,0.0,10.1,0.0
839,AAF,2022,0.0,10.3,0.0
836,AAF,2023,0.0,7.6,0.0
837,AAF,2023,0.0,10.1,0.0
384,AAIC,2021,2.5,34.0,7.352941176470589
370,AAIC,2022,2.8,75.3,3.718459495351926
322,AAIC,2023,3.5,98.7,3.546099290780141
157,AAIC,2024,8.25,55.1,14.972776769509982
351,ABAN,2019,3.0,,
498,ABAN,2020,1.5,96.5,1.5544041450777202
360,ABAN,2021,3.0,139.75,2.146690518783542
240,ABAN,2022,5.0,209.0,2.3923444976076556
258,ABAN,2023,5.0,148.5,3.3670033670033668
129,ABAN,2024,10.0,146.0,6.8493150684931505
828,ABL,2019,0.08,,
564,ABL,2024,1.2,2.3,52.17391304347826
517,ACL,2019,1.5,,
518,ACL,2020,1.5,57.4,2.6132404181184667
592,ACL,2021,1.0,84.7,1.1806375442739079
582,ACL,2022,1.0,108.0,0.9259259259259258
545,ACL,2023,1.25,67.1,1.8628912071535026
553,ACL,2024,1.25,69.0,1.8115942028985508
772,AEL,2019,0.25,,
716,AEL,2020,0.5,21.6,2.314814814814815
673,AEL,2021,0.75,24.6,3.048780487804878
671,AEL,2022,0.75,33.2,2.259036144578313
390,AEL,2024,2.5,19.0,13.157894736842104
762,AFS,2024,0.27,36.0,0.7500000000000001
447,AGAL,2024,2.0,35.3,5.6657223796034
497,AGAL,2025,1.5,49.0,3.061224489795918
621,AGPL,2024,1.0,7.6,13.157894736842104
714,AGPL,2025,0.5,11.6,4.310344827586207
734,AGST,2021,0.4,7.8,5.128205128205129
604,AHPL,2020,1.0,39.2,2.551020408163265
606,ALLI,2019,1.0,,
848,ALLI,2021,0.0,53.0,0.0
94,ALLI,2022,14.5,163.0,8.895705521472392
262,ALLI,2023,5.0,59.8,8.361204013377927
156,ALLI,2024,8.4,79.5,10.566037735849058
159,ALLI,2025,8.0,161.75,4.945904173106646
767,ALUM,2020,0.25,14.8,1.689189189189189
651,ALUM,2021,0.8,22.9,3.4934497816593892
727,ALUM,2022,0.45,16.7,2.694610778443114
766,AMSL,2020,0.25,10.0,2.5
483,AMSL,2021,1.7999999999999998,16.7,10.778443113772454
647,AMSL,2022,0.9,21.0,4.285714285714286
757,AMSL,2024,0.3,12.6,2.380952380952381
200,APLA,2019,6.0,,
201,APLA,2020,6.0,157.0,3.821656050955414
132,APLA,2021,10.0,270.25,3.700277520814061
89,APLA,2022,15.0,664.25,2.2581859239744073
90,APLA,2023,15.0,369.0,4.0650406504065035
68,APLA,2024,20.0,348.0,5.747126436781609
136,ASHO,2019,10.0,,
247,ASHO,2020,5.0,789.0,0.6337135614702154
464,ASHO,2021,2.0,898.5,0.22259321090706735
71,ASHO,2022,20.0,756.5,2.6437541308658297
236,ASHO,2023,5.0,615.0,0.8130081300813009
43,ASHO,2024,30.0,749.5,4.0026684456304205
650,ASIR,2020,0.8,20.0,4.0
429,ASIR,2021,2.1,32.5,6.461538461538462
563,ASIR,2022,1.2,41.0,2.926829268292683
506,ASIR,2024,1.5,25.4,5.905511811023622
805,ASIY,2019,0.15,,
815,ASIY,2020,0.1,2.4,4.166666666666667
797,ASIY,2021,0.18,3.4,5.294117647058823
723,ASIY,2022,0.48,3.7,12.97297297297297
701,ASIY,2023,0.55,4.4,12.5
724,ASIY,2024,0.47,4.1,11.463414634146343
268,ASPH,2019,4.5,,
444,ASPM,2019,2.0,,
238,ASPM,2020,5.0,,
160,ASPM,2021,8.0,,
118,ASPM,2022,11.0,56.8,19.366197183098592
753,AUTO,2020,0.3,74.5,0.40268456375838924
698,AUTO,2021,0.6,87.0,0.6896551724137931
443,BALA,2023,2.0,79.2,2.525252525252525
198,BFL,2021,6.0,142.0,4.225352112676056
199,BFL,2022,6.0,273.5,2.1937842778793417
179,BFL,2023,7.3,155.0,4.709677419354839
385,BFL,2024,2.5,178.0,1.4044943820224718
386,BFL,2025,2.5,185.0,1.3513513513513513
508,BOPL,2023,1.5,44.1,3.401360544217687
798,BPPL,2019,0.18,,
780,BPPL,2020,0.24,11.9,2.0168067226890756
730,BPPL,2021,0.42,16.2,2.5925925925925926
781,BPPL,2022,0.24,29.0,0.8275862068965517
749,BPPL,2024,0.32999999999999996,19.6,1.6836734693877549
790,BPPL,2025,0.2,22.0,0.9090909090909092
135,BREW,2019,10.0,,
99,BREW,2020,13.7,855.2,1.6019644527595882
40,BREW,2021,31.23,754.0,4.141909814323608
46,BREW,2022,29.75,820.0,3.6280487804878048
3,BREW,2023,104.24,900.0,11.58222222222222
15,BREW,2024,50.349999999999994,1257.0,4.005568814638027
755,BRR,2019,0.3,,
831,BRR,2020,0.05,6.3,0.7936507936507938
796,BRR,2023,0.2,11.0,1.8181818181818183
754,BRR,2024,0.3,12.5,2.4
705,BUKI,2019,0.5,,
695,BUKI,2020,0.6,230.1,0.2607561929595828
585,BUKI,2021,1.0,345.25,0.2896451846488052
577,BUKI,2022,1.1,410.75,0.267802799756543
482,BUKI,2023,1.8,282.5,0.6371681415929203
122,BUKI,2024,10.68,390.0,2.738461538461538
594,CABO,2022,1.0,71.8,1.392757660167131
593,CABO,2023,1.0,45.2,2.2123893805309733
588,CABO,2024,1.0,48.0,2.083333333333333
343,CALT,2023,3.04,29.1,10.446735395189002
55,CALT,2024,25.5,53.6,47.57462686567165
473,CARE,2021,2.0,36.4,5.4945054945054945
165,CARE,2022,8.0,45.0,17.77777777777778
219,CARE,2023,5.5,58.2,9.450171821305842
466,CARE,2024,2.0,46.0,4.3478260869565215
204,CARG,2019,6.0,,
227,CARG,2020,5.1,193.0,2.642487046632124
197,CARG,2021,6.1,214.75,2.840512223515716
153,CARG,2022,8.5,210.0,4.0476190476190474
103,CARG,2023,13.0,226.75,5.733186328555679
84,CARG,2024,15.3,340.5,4.493392070484582
665,CARS,2019,0.75,,
660,CARS,2020,0.75,190.0,0.39473684210526316
524,CARS,2021,1.5,283.75,0.5286343612334802
525,CARS,2022,1.5,298.75,0.502092050209205
428,CARS,2023,2.1,257.0,0.8171206225680935
152,CARS,2024,8.54,248.5,3.4366197183098586
67,CCS,2020,20.5,777.8,2.6356389817433787
105,CCS,2021,12.5,701.0,1.783166904422254
570,CCS,2022,1.1300000000000001,526.5,0.21462488129154797
542,CCS,2023,1.3,36.8,3.5326086956521743
289,CCS,2024,4.211,42.0,10.026190476190477
496,CCS,2025,1.51,82.5,1.8303030303030303
840,CDB,2019,0.0,,
177,CDB,2021,7.5,90.0,8.333333333333332
178,CDB,2021,7.5,67.5,11.11111111111111
310,CDB,2022,3.75,168.0,2.232142857142857
311,CDB,2022,3.75,93.0,4.032258064516129
230,CDB,2023,5.0,200.0,2.5
231,CDB,2023,5.0,52.3,9.560229445506693
114,CDB,2024,12.0,200.0,6.0
115,CDB,2024,12.0,78.7,15.247776365946633
422,CERA,2021,2.2,137.1,1.604668125455872
845,CERA,2022,0.0,154.5,0.0
313,CERA,2024,3.7,99.8,3.707414829659319
560,CFIN,2019,1.2,,
308,CFIN,2021,3.8,83.4,4.5563549160671455
282,CFIN,2022,4.5,97.2,4.62962962962963
286,CFIN,2023,4.25,60.6,7.013201320132014
190,CFIN,2024,6.75,99.5,6.78391959798995
773,CFLB,2023,0.25,28.0,0.8928571428571428
293,CFVF,2019,4.0,,
261,CFVF,2020,5.0,39.7,12.594458438287154
260,CFVF,2021,5.0,57.6,8.680555555555555
93,CFVF,2023,14.5,34.7,41.78674351585014
246,CFVF,2024,5.0,27.9,17.921146953405017
173,CFVF,2025,7.5,37.5,20.0
424,CHL,2020,2.2,73.4,2.997275204359673
425,CHL,2020,2.2,68.0,3.2352941176470593
339,CHL,2021,3.2,115.5,2.7705627705627704
340,CHL,2021,3.2,102.7,3.11587147030185
250,CHL,2022,5.0,166.0,3.0120481927710845
251,CHL,2022,5.0,140.0,3.571428571428571
409,CHL,2023,2.3,135.75,1.6942909760589315
410,CHL,2023,2.3,110.0,2.090909090909091
449,CHL,2024,2.0,120.0,1.6666666666666667
450,CHL,2024,2.0,100.0,2.0
475,CHMX,2020,2.0,58.7,3.4071550255536627
609,CHMX,2021,1.0,87.3,1.1454753722794961
432,CHMX,2022,2.0,90.3,2.2148394241417497
382,CHMX,2023,2.5,86.0,2.9069767441860463
394,CHMX,2024,2.5,69.9,3.5765379113018594
468,CIC,2020,2.0,58.9,3.395585738539898
469,CIC,2020,2.0,46.5,4.301075268817205
336,CIC,2021,3.25,185.3,1.7539125742039936
337,CIC,2021,3.25,155.6,2.0886889460154245
612,CIC,2022,1.0,67.9,1.4727540500736376
