id,close,high,low,open,share_volume,symbol,trade_date,trade_volume,turnover
1,1.1,1.3,1,1.2,14062781,TESS.N0000,1740681000000,1267,16379471.1
2,1.2,1.4,0.9,1.1,76805861,TESS.N0000,1735583400000,3971,80195037.6
3,1.1,1.3,0.8,1.2,106216649,TESS.N0000,1703788200000,7025,112351948.2
4,1.1,3.5,0.9,1.7,460203267,TESS.N0000,1672338600000,21092,874934155.9
5,1.5,1.5,0.5,0.6,390626353,TESS.N0000,1640889000000,11430,341398852.1
6,0.6,0.8,0.3,0.5,242269517,TESS.N0000,1609353000000,6864,143506746.4
7,0.5,0.8,0.3,0.5,107969585,TESS.N0000,1577730600000,5051,59920337.8
8,0.5,1.2,0.4,1.1,85653731,TESS.N0000,1546194600000,6245,57321463
9,1.2,1.7,0.9,1.4,77723530,TESS.N0000,1514485800000,4772,104983941.6
10,1.3,2,0.8,1.7,128006198,TESS.N0000,1483036200000,4947,210699085.4
11,1.6,1.9,1.3,1.6,73568373,TESS.N0000,1451500200000,4565,124964823.5
12,1.6,2,1.1,1.3,161549927,TESS.N0000,1419964200000,10745,245857033
13,1.3,2.8,1.3,2.5,61734864,TESS.N0000,1388428200000,8833,123301388.5
14,2.4,4.7,1.8,4.5,143909024,TESS.N0000,1356892200000,16531,432072988.3
15,4.5,6.9,2.3,2.6,689040900,TESS.N0000,1325183400000,45115,2871180240
16,2.7,3.2,1.4,1.5,383573600,TESS.N0000,1293733800000,21883,903458830
17,1.5,1.9,0.5,0.6,153181900,TESS.N0000,1262111400000,7200,219176090
18,0.6,1.4,0.5,1.1,48215300,TESS.N0000,1230661800000,2291,52587180
19,1.1,1.5,1,1.1,98237700,TESS.N0000,1199039400000,4383,118611870
20,1.1,1.5,1,1,84165400,TESS.N0000,1167330600000,6562,103157280
21,1,14.25,0.9,11,327256300,TESS.N0000,1135879200000,22193,759098155
22,10.5,12.75,7.25,9.75,15919200,TESS.N0000,1104429600000,3526,168320150
23,9,14,8,13.5,7964200,TESS.N0000,1072807200000,2429,91997300
24,14,15.25,12.5,14,675700,TESS.N0000,1041271200000,288,9438725
25,84,92.9,77,80,1907625,HASU.N0000,1740681000000,1558,162422025.9
26,80.1,82,52.1,56.2,6045494,HASU.N0000,1735583400000,4798,372319518.4
27,56.6,59,42,43.5,10429700,HASU.N0000,1703788200000,7389,551191752.1
28,42.9,62.5,28,48.6,11064583,HASU.N0000,1672338600000,9164,524906660.8
29,48.4,64,42.3,59.3,20157342,HASU.N0000,1640889000000,14183,1049843639
30,58.2,178,55.1,135,6502845,HASU.N0000,1609353000000,7660,627625766.2
31,138,143.9,98.6,131.1,3100779,HASU.N0000,1577730600000,3539,401952098
32,132,135,72.6,73,8076234,HASU.N0000,1546194600000,6026,786616770.9
33,72.5,74.4,52,58,2507543,HASU.N0000,1514485800000,2433,167015023.6
34,58.8,72.9,53,72.5,1587252,HASU.N0000,1482431400000,1288,98598781.5
35,74.6,93.5,69.4,83.8,1201027,HASU.N0000,1451500200000,1808,103016431.9
36,83.5,98,52.2,52.5,4937695,HASU.N0000,1419964200000,3111,373672883.2
37,52.5,57,47,49,4589817,HASU.N0000,1388428200000,1778,242310103.5
38,49,56.9,36.3,51.4,1347828,HASU.N0000,1356892200000,1466,61959215.7
39,56.9,90,42.5,77.3,2903300,HASU.N0000,1325183400000,2831,215698120
40,78,90,45,49.25,13274600,HASU.N0000,1293733800000,4845,790217005
41,49.5,57,17.25,18.5,10535000,HASU.N0000,1262111400000,7084,391270975
42,18.25,27,17,24.5,3566900,HASU.N0000,1230661800000,3641,85513100
43,24.5,37,18,25,7390900,HASU.N0000,1199039400000,6172,196481750
44,25,25,12.5,13,8135700,HASU.N0000,1167330600000,4080,155070400
45,12.75,22,11,12.5,10647200,HASU.N0000,1135879200000,6804,178235150
46,12.5,15.25,8.75,10.5,5040000,HASU.N0000,1104429600000,4249,61667175
47,10.5,12.75,9,12.5,315300,HASU.N0000,1072807200000,641,3328275
48,21.5,28,18,21.8,410880,KDL.N0000,1701801000000,1253,9797563.8
49,21.8,38.5,16,36.3,25614442,KDL.N0000,1672165800000,431,633097990.2
50,35.3,43.6,27.9,42.9,854486,KDL.N0000,1640889000000,1461,28286041.3
51,42.9,43.8,21.1,29,52998,KDL.N0000,1609353000000,594,1734594.8
52,23.6,44,18.5,30.4,45563,KDL.N0000,1577644200000,520,1438310.7
53,30.4,47.9,24,42.9,67239,KDL.N0000,1545935400000,260,2566888.8
54,40,60,36,54.8,684983,KDL.N0000,1513708200000,595,39736297.4
55,50,66,34.5,62.9,548366,KDL.N0000,1483036200000,943,27559831.2
56,60,67,38,41.5,1565512,KDL.N0000,1451500200000,2235,81181226.6
57,43,49.4,14.6,19.3,6356328,KDL.N0000,1419964200000,2398,207472058.2
58,19.2,26.5,12.1,16.2,4841007,KDL.N0000,1388428200000,3982,101798781.8
59,14.6,25.5,9,24.6,4776270,KDL.N0000,1356892200000,3600,81695302.4
60,23.2,34.5,14.4,15.1,17478900,KDL.N0000,1325183400000,9645,420799240
61,15,18.25,11,11,16670600,KDL.N0000,1293733800000,8771,262479335
62,11,13.25,5.5,5.5,4723500,KDL.N0000,1262111400000,4481,48857175
63,5.5,22,4.6,17.75,5705400,KDL.N0000,1230661800000,4847,83493295
64,18,38,16,30,14014003,KDL.N0000,1199039400000,8614,295476613
65,30,62,25,32.25,1502900,KDL.N0000,1167330600000,2519,75305600
66,33.5,58,9.5,9.5,1445400,KDL.N0000,1135792800000,2189,53093400
67,11.5,18.5,7.75,10,243100,KDL.N0000,1103738400000,283,3205825
68,10.5,14,7.5,12,173900,KDL.N0000,1072375200000,172,1916550
69,11.25,13.5,4.75,5,106700,KDL.N0000,1037210400000,149,1018700
70,5.75,8,4,8,10300,KDL.N0000,1008871200000,27,56075
71,8,9.75,6.75,8,562000,KDL.N0000,978026400000,375,4832550
72,24.5,28.5,19.2,20.1,7394769,KAHA.N0000,1740681000000,4614,182784805.4
73,19.8,21.8,14.8,16.5,9550129,KAHA.N0000,1735583400000,6710,178253865.9
74,16,26.2,15.1,25.1,6331050,KAHA.N0000,1703788200000,8155,134233121.5
75,24.5,41.5,19,27.6,26948996,KAHA.N0000,1672338600000,15743,919132493.8
76,27.6,34.8,22.5,32,1394469,KAHA.N0000,1640889000000,2432,39946489.3
77,31,37.4,30,33.2,612365,KAHA.N0000,1609353000000,936,20022676.8
78,36.5,42,30,39.9,38310,KAHA.N0000,1576175400000,535,1399852.6
79,39.9,44,30.4,40,2637134,KAHA.N0000,1546194600000,393,100165192.4
80,38.9,43.9,30.1,37.5,636472,KAHA.N0000,1514485800000,1176,25278448.3
81,37.7,39.8,27.4,36.9,92530,KAHA.N0000,1482949800000,572,3208739.3
82,37.2,39.9,26.5,34,2871586,KAHA.N0000,1451500200000,1198,91466572.3
83,35.5,42,33,37,2458513,KAHA.N0000,1419964200000,1361,97997759.8
84,38.8,43,28.6,32.1,1973636,KAHA.N0000,1388082600000,1548,73909463.9
85,33.1,38.9,20.1,28,1796093,KAHA.N0000,1356892200000,1876,56789908.5
86,29.5,43.1,23.5,28.7,14081100,KAHA.N0000,1325097000000,6122,528798370
87,28,41.5,20.9,31,8401700,KAHA.N0000,1293733800000,6395,250598720
88,31,38,19.25,22,1367400,KAHA.N0000,1262111400000,1863,41424775
89,20.75,44,16.5,24.5,2114900,KAHA.N0000,1230661800000,3846,69718550
90,24.25,25.25,6.75,8.5,3446900,KAHA.N0000,1199039400000,3340,54353625
91,9.5,12,4.5,5,10263800,KAHA.N0000,1167244200000,3881,94701350
92,5,9.5,4.5,6.75,7413700,KAHA.N0000,1135879200000,3747,56154825
93,7,10,3.5,4.5,10733900,KAHA.N0000,1104429600000,4594,76453875
94,4.25,8.25,4,4.75,7336400,KAHA.N0000,1072807200000,2098,44345825
95,4.75,7.75,4.25,7.75,3126200,KAHA.N0000,1041271200000,2369,17421525
96,7.75,11,4,5.75,2425700,KAHA.N0000,1009735200000,2462,16241950
97,5.75,8.75,4.5,8.25,3042500,KAHA.N0000,978026400000,3388,20367750
98,199.75,214,172.5,187,11510855,NTB.N0000,1740681000000,5000,2196111425
99,186.5,189.75,99.8,107.5,57422674,NTB.N0000,1735583400000,20293,7158348379.2
100,107.5,125,45.7,45.7,87226029,NTB.N0000,1703788200000,18497,6928604745.6
101,46.2,60,30.5,55,6546326,NTB.N0000,1672338600000,5459,298577652
102,55,68.5,52.9,60.9,18529256,NTB.N0000,1640889000000,13688,1075449680.4
103,60,80,52.6,80,46544988,NTB.N0000,1609353000000,12819,2920941098.9
104,80,94.8,76,88.2,10917351,NTB.N0000,1577730600000,2158,936094307.2
105,89.2,93,77,79,27524845,NTB.N0000,1546194600000,3199,2255622470.5
106,78,87,71.2,80,8278906,NTB.N0000,1514485800000,2661,660079149.7
107,80.9,90,73,88,8087139,NTB.N0000,1483036200000,3598,637627174.2
108,86.3,115.6,80,97,38263044,NTB.N0000,1451500200000,6557,3889791831.7
109,97,101.9,62,62.5,63839256,NTB.N0000,1419964200000,11184,5427119635.1
110,62.2,68.9,56,56.6,59735127,NTB.N0000,1388428200000,10960,3657372814.8
111,56,64.6,43.5,57.1,17880112,NTB.N0000,1356892200000,8931,1022636450.3
112,57,89.8,54,82.5,44981156,NTB.N0000,1325183400000,15929,2896355516.8
113,83.4,114.7,34,36.5,104111700,NTB.N0000,1293733800000,33105,6547723255
114,36.75,39.5,22,22.75,72242466,NTB.N0000,1262111400000,13207,2304854734.5
115,22.25,37.75,21,30,20466600,NTB.N0000,1230661800000,3994,635294075
116,29.75,37.5,28.5,28.5,29808400,NTB.N0000,1199039400000,6633,1006729625
117,28.25,28.5,19.75,23.75,29954700,NTB.N0000,1167330600000,5919,738326700
118,23.5,33.5,18.25,18.25,47423900,NTB.N0000,1135879200000,12246,1217928350
119,18.25,32.5,17.75,29.5,49990000,NTB.N0000,1104429600000,14683,1183355200
120,28.5,47,14,16.5,55886900,NTB.N0000,1072807200000,20248,1728409500
121,16.75,18.75,11,15.25,16920100,NTB.N0000,1041271200000,6357,259670000
122,15,20.25,7.75,11.5,13650700,NTB.N0000,1009735200000,4091,194235325
123,11.75,14.25,9.75,14,6141800,NTB.N0000,978026400000,2962,76587775
124,66.9,71.8,58,59.6,19355304,TKYO.X0000,1740681000000,5121,1267408604.4
125,60.9,61.3,32,38,51911887,TKYO.X0000,1735583400000,14669,2502929981.1
126,38,53.3,24.6,25.5,73459479,TKYO.X0000,1703788200000,21735,3004597566.1
127,26,57.2,14.5,51.3,72599483,TKYO.X0000,1672338600000,26361,2490586907.6
128,49.7,82,39,69.9,202280375,TKYO.X0000,1640889000000,97218,11843146089.3
129,68.2,69.9,16,39.8,241832521,TKYO.X0000,1609353000000,73881,10778470784.7
130,39.2,44.3,16.9,21.5,93900635,TKYO.X0000,1577730600000,26177,2710678714.1
131,23,62,20,58.8,21183816,TKYO.X0000,1546194600000,6266,715252456.6
132,59,71,46,52,37909424,TKYO.X0000,1514485800000,6504,2331867750.7
133,51.5,54.8,24.6,39.5,43565511,TKYO.X0000,1483036200000,6816,1754440639.7
134,39.5,57.7,35.7,47,35662763,TKYO.X0000,1451413800000,6824,1552255119.2
135,46.9,54.9,23.4,23.4,80990341,TKYO.X0000,1419964200000,13974,3144956115.8
136,23.4,24,17,19.5,18013620,TKYO.X0000,1388428200000,6121,370060188.7
137,19.3,31,18.2,30.5,31981865,TKYO.X0000,1356892200000,6418,719760479
138,30.5,55,29,42,56086000,TKYO.X0000,1325183400000,12187,2365686060
139,40.3,41.2,17.75,19.75,136329486,TKYO.X0000,1293733800000,23656,4123316420
140,19.75,20,7.75,8,98534140,TKYO.X0000,1262111400000,18666,1350421715
141,7.25,18.25,7,18.25,19883300,TKYO.X0000,1230575400000,3026,300442550
142,18.25,26.75,17,17,73346500,TKYO.X0000,1199039400000,13205,1609088250
143,17,17.75,10.75,12.25,91981700,TKYO.X0000,1167330600000,13890,1313556125
144,12,19.75,10.25,15,89851100,TKYO.X0000,1135879200000,14747,1432799825
145,36,43,33,36.5,16012303,LALU.N0000,1740681000000,4089,607286083.2
146,36.3,36.5,15.7,16.8,79229576,LALU.N0000,1735583400000,17257,2165162452.3
147,16.8,21,13.3,15.9,13817315,LALU.N0000,1703788200000,9715,244659463.9
148,15.8,38.8,9.3,26.6,52233969,LALU.N0000,1672338600000,30977,1433942864.3
149,26.6,170,14,113.7,106906594,LALU.N0000,1640889000000,50058,2894406264.75
150,112.7,121.2,40,60,2042189,LALU.N0000,1609353000000,5094,196309968.2
151,68,70,41,65.9,163254,LALU.N0000,1577730600000,778,9575376
152,65.9,74.6,53,68.5,142984,LALU.N0000,1546194600000,670,8873960.3
153,71.9,94.5,60,83.4,442079,LALU.N0000,1514313000000,800,36729657.6
154,83.4,109,58,109,774765,LALU.N0000,1482863400000,1868,67899902.7
155,108.2,132.7,51.5,53.6,3627870,LALU.N0000,1451500200000,5361,315020085.9
156,55.5,64.5,27.2,30.8,2392004,LALU.N0000,1419964200000,2599,103596122.1
157,29.6,38,24.1,34.8,848320,LALU.N0000,1388428200000,1678,26103882.2
158,34.8,50,15,44,2645534,LALU.N0000,1356892200000,4557,82305108.8
159,44,104,34,38.2,10950800,LALU.N0000,1325183400000,16017,738901630
160,35.7,48,25.5,27.5,7025400,LALU.N0000,1293733800000,3645,250285745
161,28,34.75,19,21,594300,LALU.N0000,1262025000000,721,17044950
162,18,35,18,32.5,604200,LALU.N0000,1229625000000,534,18837775
163,30.75,39,25.5,27,1198600,LALU.N0000,1199039400000,1171,37750625
164,29,30,12,12,11462500,LALU.N0000,1167330600000,6778,269116400
165,11.5,37.5,9.75,15.5,16741200,LALU.N0000,1135879200000,8844,459546350
166,15,22,10,13.5,943700,LALU.N0000,1104429600000,705,14802400
167,13,19.75,8.5,11.5,4382500,LALU.N0000,1072720800000,631,61583400
168,11,11.75,8,10.25,635600,LALU.N0000,1041184800000,340,6614675
169,9.75,12,7.5,10,401400,LALU.N0000,1009735200000,205,3627700
170,10.25,12,9,10,520800,LALU.N0000,978026400000,234,5572850
171,85,98,76,82.1,1658932,CABO.N0000,1740681000000,866,151714923.7
172,82.1,86,47.3,53.6,806099,CABO.N0000,1735583400000,1342,55105832
173,53.7,60,42,45.3,450589,CABO.N0000,1703788200000,1176,23704426.2
174,45.4,79.8,40,67.9,556071,CABO.N0000,1672165800000,1586,31301589.8
175,68,90,52,65.9,2735587,CABO.N0000,1640889000000,4363,191414983.3
176,68,71,32,53.3,1729941,CABO.N0000,1609353000000,2730,92495186
177,53.5,78,43.4,76.9,2029820,CABO.N0000,1577730600000,1612,115157639.2
178,73,90.9,63.5,85,186468,CABO.N0000,1546194600000,561,13365292.3
179,84,96.5,75.4,88,659781,CABO.N0000,1513017000000,930,58167544.2
180,85,129.6,80.5,118.2,62618,CABO.N0000,1483036200000,376,6344274.8
181,124.9,144,113,137.8,275311,CABO.N0000,1451500200000,820,35370878.9
182,131.5,149.8,95.1,100,503346,CABO.N0000,1419791400000,1180,63899260.9
183,99,151,73,79,596913,CABO.N0000,1388082600000,2313,70323531.8
184,78.2,113.9,58,112.9,141816,CABO.N0000,1356028200000,733,12499076
185,104.1,189.9,95,120,1482100,CABO.N0000,1325183400000,2136,212539180
186,118.1,147,62,67,2288900,CABO.N0000,1293733800000,2326,216962325
187,67.75,69,21,24,4322200,CABO.N0000,1262111400000,3078,192634375
188,25,32.5,18.75,25.75,7639400,CABO.N0000,1230575400000,5609,193533650
189,24.75,30,18.25,22.75,5787700,CABO.N0000,1199039400000,3889,148755150
190,21,32.75,15,22,13579000,CABO.N0000,1167330600000,13505,359117075
191,20.25,124.5,16,40,5206100,CABO.N0000,1135879200000,7508,332390175
192,37.75,54,15,15,205100,CABO.N0000,1103652000000,147,5094775
193,15,30,14,15,4700,CABO.N0000,1068055200000,16,90425
194,19,40,12,12,13500,CABO.N0000,1040148000000,43,294100
195,13.5,13.5,10,10,13500,CABO.N0000,1003946400000,15,153600
196,11,11,11,11,100,CABO.N0000,963511200000,1,1100
197,172.75,212,165.75,180,5812672,BRWN.N0000,1740681000000,12192,1118324888.75
198,178.25,183.5,91,99.2,13016467,BRWN.N0000,1735583400000,26035,1680313697.3
199,100,149,95,120.75,5073013,BRWN.N0000,1703788200000,16164,600397350.9
200,118,414.75,75,380,15083563,BRWN.N0000,1672338600000,41645,3232544156.8
201,369.5,384,104.9,104.9,61109737,BRWN.N0000,1640889000000,81913,13522520511.2
202,105.2,113,35,71,11591967,BRWN.N0000,1609353000000,17272,971116541.1
203,72.9,78,36.9,61,1563190,BRWN.N0000,1577730600000,2832,106134460.2
204,61,79.9,46.5,79.9,1572769,BRWN.N0000,1545244200000,2148,92990637
205,70.5,104.9,68,81.1,1402448,BRWN.N0000,1514485800000,1495,117012324.6
206,84,104.7,72,101.2,1793447,BRWN.N0000,1482949800000,1717,165394678.6
207,101.1,135,96,107,5665792,BRWN.N0000,1451500200000,6255,645609118.2
208,107,121,85,85,6175701,BRWN.N0000,1419964200000,6040,630578470.1
209,82.7,140,78.2,124.9,2212771,BRWN.N0000,1388428200000,3547,256914286.9
210,124.1,228,103,225,1664355,BRWN.N0000,1356892200000,3009,246370707.8
211,234.8,404.9,215,260,23546700,BRWN.N0000,1325183400000,17113,7233424920
212,246.9,293.4,75,75,47009000,BRWN.N0000,1293733800000,27426,6852214115
213,74.5,94.75,17,19.75,36624600,BRWN.N0000,1262111400000,26464,1852806625
214,19,1200,18.5,965,2180500,BRWN.N0000,1230661800000,3794,241952675
215,900,1300,525,619,271700,BRWN.N0000,1198780200000,419,203818850
216,619,620,420,498.75,228300,BRWN.N0000,1167157800000,355,126810350
217,460.25,800,215,248,654100,BRWN.N0000,1135879200000,1661,309211100
218,250,400,81,150,44100,BRWN.N0000,1102356000000,222,11338125
219,149.25,250,100,140,89900,BRWN.N0000,1072720800000,79,16810550
220,140,140,36,40,28500,BRWN.N0000,1040666400000,92,2308175
221,42,75,30,74,7300,BRWN.N0000,1008612000000,28,321350
222,75,100,75,100,21200,BRWN.N0000,975002400000,41,1788600
223,32,37.5,28,29.5,1066477,EBCR.N0000,1740681000000,1567,34562476.5
224,28.7,29.4,20.9,22.9,6605969,EBCR.N0000,1735583400000,2818,162445529
225,22.7,25.6,17,20.6,2314324,EBCR.N0000,1703788200000,3065,51254140.1
226,20.6,32,12.6,28,5048919,EBCR.N0000,1672338600000,6007,119339430.2
227,26.5,8390,22,3115.1,9176521,EBCR.N0000,1640889000000,21103,412634532
228,3115.1,3851.8,701,1195,51003,EBCR.N0000,1609353000000,2196,107054057.6
229,1202,1500,1000,1490,427498,EBCR.N0000,1576607400000,171,559860611.3
230,1490,1740,1010.1,1120,4216,EBCR.N0000,1545849000000,167,5377815.4
231,1200.5,1499,950.1,1200,3730,EBCR.N0000,1513708200000,228,4720281.9
232,1250,1400,1000,1150,4766,EBCR.N0000,1481740200000,179,6047241.1
233,1088.6,1425,950.1,1000,12739,EBCR.N0000,1451500200000,246,14327611.3
234,1050,1149,880,940,14801,EBCR.N0000,1419964200000,319,14707861.9
235,945,1400,875,1099,18419,EBCR.N0000,1388341800000,763,21201766.8
236,1100,1700,750,1460.1,17444,EBCR.N0000,1356892200000,450,19845017.2
237,1600,4000,1250,1250,96000,EBCR.N0000,1325097000000,527,260159980
238,1100,1250,205.25,205.25,114000,EBCR.N0000,1293733800000,471,61506415
239,225,290,170.25,230,20900,EBCR.N0000,1262111400000,100,4235100
240,235,324.75,152,152,563400,EBCR.N0000,1229365800000,185,150994575
241,152,210,130,210,4000,EBCR.N0000,1199039400000,17,585150
242,200,260,190,205,14100,EBCR.N0000,1167330600000,19,2754350
243,190,260,190,200,12200,EBCR.N0000,1135792800000,42,2904700
244,200,200,15,15,615400,EBCR.N0000,1103652000000,715,89777150
245,16,27.5,15,19,48100,EBCR.N0000,1071597600000,72,1041450
246,21,30,18.25,26.25,572000,EBCR.N0000,1041271200000,168,12018750
247,25,40,20.5,33,82300,EBCR.N0000,1009389600000,77,2207625
248,35,36,20,35,152100,EBCR.N0000,977421600000,65,4849700
249,83.5,93.4,82.3,85.5,8590155,HAYC.N0000,1740681000000,5834,750554093.5
250,85.3,87.6,64.1,64.9,26794669,HAYC.N0000,1735583400000,18243,2110925082
251,64.3,76.5,51.5,58,16525386,HAYC.N0000,1703788200000,17260,1082951993.4
252,57.6,80,40,76.9,27068863,HAYC.N0000,1672338600000,30325,1765611909.1
253,76.8,1700,68,573,83947508,HAYC.N0000,1640889000000,132559,11858120590.9
254,568.6,575,150,190,7787581,HAYC.N0000,1609353000000,18181,2908935126.8
255,190,198.9,120,130,874347,HAYC.N0000,1577730600000,1248,130370577.2
256,130,148.9,119.1,148.9,449343,HAYC.N0000,1545935400000,627,57289778.1
257,147.5,170,145,150,360328,HAYC.N0000,1513708200000,573,56730090.7
258,150,180,140,164.8,471826,HAYC.N0000,1483036200000,693,74922465.4
259,164.9,195,158,185,555746,HAYC.N0000,1451500200000,824,101544878.2
260,173,200,170,189,894616,HAYC.N0000,1419964200000,1165,168355533.8
261,189.8,215,170,179.5,1668229,HAYC.N0000,1388428200000,1349,324438670.8
262,171.1,185,136,155,1586346,HAYC.N0000,1356892200000,1193,256907960.5
263,155,191,135,171,1929100,HAYC.N0000,1325097000000,1857,299304160
264,168.5,219.5,139,140,8875360,HAYC.N0000,1293733800000,7630,1626904720
265,140,148,40,42,6998600,HAYC.N0000,1262111400000,4488,578953850
266,44.5,66,37,42.5,4324100,HAYC.N0000,1230661800000,1838,233253700
267,42,47,30.25,39,1757100,HAYC.N0000,1198693800000,1233,69661725
268,37,41,29,35,1636200,HAYC.N0000,1167157800000,971,59033825
269,33.25,49.25,30,42.5,2164300,HAYC.N0000,1135792800000,1819,98087025
270,42.5,51.5,28,33,4515800,HAYC.N0000,1104429600000,2873,201990425
271,32,58,32,43.25,2691800,HAYC.N0000,1072807200000,1404,120544375
